Count, Time (ms), RSSI (dBm), Frequency (KHz), Timestamp (ms), EPC, Phase (Degrees)
1,143270,-60,924200,471,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
2,143362,-62,927200,563,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
3,146515,-59,921600,725,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
4,146532,-58,925200,741,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
5,146713,-59,923600,923,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
6,146755,-59,921800,966,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
7,146790,-58,923200,999,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
8,146833,-59,920200,43,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
9,146999,-59,921200,201,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
10,147006,-59,926600,211,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
11,147045,-59,926800,256,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
12,147079,-59,920800,290,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
13,147112,-58,924400,324,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
14,147149,-59,923800,361,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
15,147201,-59,921000,413,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
16,147252,-59,924600,464,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
17,147445,-59,922800,659,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
18,147584,-59,926400,798,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
19,147651,-59,924000,865,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
20,147726,-59,926200,941,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
21,147771,-59,925000,986,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
22,147966,-58,923000,182,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
23,148028,-59,927000,244,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
24,148062,-58,925400,278,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
25,148318,-59,920400,535,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
26,148340,-58,925800,558,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
27,148407,-59,920600,625,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
28,148440,-58,924200,658,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
29,148544,-60,918000,763,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
30,148576,-59,927200,795,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
31,148624,-59,920000,843,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
32,148696,-59,921400,915,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
33,148730,-59,923400,951,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
34,148764,-59,925600,985,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
35,148801,-59,926000,20,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
36,148880,-59,924800,100,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
37,149051,-58,925200,272,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
38,149317,-59,921800,540,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
39,149366,-58,923200,589,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
40,149570,-59,921200,794,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
41,149603,-59,926600,827,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
42,149647,-59,926800,872,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
43,149740,-59,920800,965,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
44,149760,-59,924400,985,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
45,149787,-59,923800,11,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
46,149891,-59,924600,115,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
47,150002,-60,917800,228,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
